reference_id,year,title,doi,primary_url,local_file,evidence_role,in_numeric_training,transfer_decision,accessed_date
R16,2024,"Ni-catalyzed enantioconvergent deoxygenative reductive cross-coupling of unactivated alkyl alcohols and aryl bromides",10.1038/s41467-024-46713-x,https://doi.org/10.1038/s41467-024-46713-x,扩展语料_仅本地核查/Ni-catalyzed enantioconvergent deoxygenative reductive cross-coupling of unactivated alkyl alcohols and aryl bromides.pdf,negative transfer reference,no,"Different metal, precursor activation, bond formation and product; reinforces reaction-family refusal",2026-07-18
R17,2013,"Direct Construction of Quaternary Carbons from Tertiary Alcohols via Photoredox-Catalyzed Fragmentation of tert-Alkyl N-Phthalimidoyl Oxalates",10.1021/ja408971t,https://doi.org/10.1021/ja408971t,扩展语料_仅本地核查/ja408971t.pdf,precursor background,no,"Tertiary N-phthalimidoyl oxalate chemistry defines a negative precursor boundary; no target labels transferred",2026-07-18
R18,2025,"Science China Chemistry local asymmetric-photoredox context record",10.1007/s11426-025-2666-y,https://doi.org/10.1007/s11426-025-2666-y,扩展语料_仅本地核查/FBF10B8D5DC64B61A1A51E52BDC52E39-mark.pdf,qualitative context,no,"Retained locally after DOI-level review; not sufficiently matched for numerical transfer",2026-07-18
R19,2025,"Copper-Catalyzed Asymmetric Cyanation of Propargylic Radicals Derived From Silyl-Substituted Allenes and Alkynes",10.1002/anie.202505939,https://doi.org/10.1002/anie.202505939,,external mechanism stress test,no,"Propargylic H-atom-abstraction pathway is explicitly outside the target radical and reaction family",2026-07-18
R20,2025,"Photoinduced Copper-Catalyzed Asymmetric Radical Sulfonylcyanation of Vinylarenes with Sulfonyl Cyanides",10.1002/cctc.202500258,https://doi.org/10.1002/cctc.202500258,,external mechanism stress test,no,"Different radical source and alkene-addition sequence; used only to test refusal logic",2026-07-18
R21,2025,"Copper-Catalyzed Enantioselective Radical Cyanation of Allenic C(sp2)-H Bonds to Access Tri- and Tetrasubstituted Chiral Allenes",10.1021/acscatal.5c01796,https://doi.org/10.1021/acscatal.5c01796,,external mechanism stress test,no,"Allenic C-H activation and axial chirality are outside the target domain",2026-07-18
R22,2025,"Copper-Catalyzed Asymmetric Carbocyanation of 1,3-Dienes and Vinylarenes with Simple Aldehydes and Alkanes",10.1021/acscatal.5c04586,https://doi.org/10.1021/acscatal.5c04586,,external mechanism stress test,no,"HAT-derived acyl/alkyl radical carbocyanation is not numerically pooled",2026-07-18
R23,1980,"Iterative Partial Equalization of Orbital Electronegativity: A Rapid Access to Atomic Charges",10.1016/0040-4020(80)80168-2,https://doi.org/10.1016/0040-4020(80)80168-2,,descriptor source,no,"Defines the empirical Gasteiger-Marsili charge method; values are not NBO charges",2026-07-18
R24,1999,"Prediction of Physicochemical Parameters by Atomic Contributions",10.1021/ci990307l,https://doi.org/10.1021/ci990307l,,descriptor source,no,"Source for Crippen fragment logP and molar-refractivity estimates",2026-07-18
R25,2000,"Fast Calculation of Molecular Polar Surface Area as a Sum of Fragment-Based Contributions",10.1021/jm000942e,https://doi.org/10.1021/jm000942e,,descriptor source,no,"Source for topological polar surface area",2026-07-18
R26,2020,"Hydrostatic Pressure-Induced Spectral Variation of Reichardt's Dye",10.1021/acsomega.9b03880,https://doi.org/10.1021/acsomega.9b03880,,solvent descriptor cross-check,no,"Cross-checks common ET(30) values; not a target-reaction measurement",2026-07-18
R27,2021,"Regio-selectivity prediction with a machine-learned reaction representation and on-the-fly quantum mechanical descriptors",10.1039/D0SC04823J,https://doi.org/10.1039/D0SC04823J,,qmdesc methodology,no,"Defines the ML-predicted B3LYP/def2-SVP descriptor targets; no target reaction labels are transferred",2026-07-18
R28,2021,"DBSTEP: DFT Based Steric Parameters for the Description of Molecular Steric Effects",10.1021/acs.jcim.0c01367,https://doi.org/10.1021/acs.jcim.0c01367,,steric descriptor methodology,no,"Supports B1/B5/L and buried-volume computation; v4.4 values remain product-scaffold conformer proxies",2026-07-18
R29,2016,"XGBoost: A Scalable Tree Boosting System",10.1145/2939672.2939785,https://doi.org/10.1145/2939672.2939785,,algorithm methodology,no,"Supports the regularized tree challenger; no chemical labels are transferred",2026-07-18
